country_id,year,indicator_id,indicator_value
705,2036,20,7.59
705,2022,20,7.52
705,2023,20,7.43
705,2024,20,7.35
705,2025,20,7.3
705,2026,20,7.26
705,2027,20,7.24
705,2028,20,7.23
705,2029,20,7.25
705,2030,20,7.27
705,2031,20,7.31
705,2032,20,7.36
705,2033,20,7.42
705,2034,20,7.48
705,2035,20,7.54
705,1992,20,9.99
705,2037,20,7.65
705,2038,20,7.7
705,2039,20,7.74
705,2040,20,7.78
705,2041,20,7.8
705,2042,20,7.82
705,2043,20,7.84
705,2044,20,7.85
705,2045,20,7.85
705,2046,20,7.85
705,2047,20,7.85
705,2048,20,7.85
705,2049,20,7.85
705,2050,20,7.85
705,2020,20,7.74
705,1991,20,10.79
705,1993,20,9.9
705,1994,20,9.73
705,1995,20,9.48
705,1996,20,9.36
705,1997,20,9.03
705,1998,20,8.88
705,1999,20,8.72
705,2000,20,9.04
705,2001,20,8.69
705,2002,20,8.77
705,2003,20,8.84
705,2004,20,8.9
705,2005,20,8.95
705,2006,20,8.98
705,2007,20,9.0
705,2008,20,8.99
705,2009,20,8.97
705,2010,20,8.92
705,2011,20,8.85
705,2012,20,8.76
705,2013,20,8.66
705,2014,20,8.54
705,2015,20,8.42
705,2016,20,8.28
705,2017,20,8.15
705,2018,20,8.01
705,2019,20,7.87
705,2021,20,7.62
428,2036,20,7.75
428,2021,20,8.94
428,2022,20,8.7
428,2023,20,8.46
428,2024,20,8.24
428,2025,20,8.05
428,2026,20,7.88
428,2027,20,7.74
428,2028,20,7.62
428,2029,20,7.54
428,2030,20,7.48
428,2031,20,7.46
428,2032,20,7.47
428,2033,20,7.52
428,2034,20,7.59
428,2035,20,7.67
428,1990,20,14.29
428,2037,20,7.82
428,2038,20,7.9
428,2039,20,7.98
428,2040,20,8.04
428,2041,20,8.1
428,2042,20,8.14
428,2043,20,8.17
428,2044,20,8.18
428,2045,20,8.18
428,2046,20,8.15
428,2047,20,8.12
428,2048,20,8.08
428,2049,20,8.03
428,2050,20,7.97
428,2019,20,9.39
428,1989,20,14.65
428,1991,20,13.08
428,1992,20,12.11
428,1993,20,10.45
428,1994,20,9.64
428,1995,20,8.72
428,1996,20,8.07
428,1997,20,7.75
428,1998,20,7.65
428,1999,20,8.13
428,2000,20,8.55
428,2001,20,8.37
428,2002,20,8.6
428,2003,20,9.16
428,2004,20,9.0
428,2005,20,9.68
428,2006,20,10.22
428,2007,20,10.79
428,2008,20,11.1
428,2009,20,10.2
428,2010,20,9.35
428,2011,20,9.07
428,2012,20,9.7
428,2013,20,10.15
428,2014,20,10.08
428,2015,20,10.0
428,2016,20,9.88
428,2017,20,9.74
428,2018,20,9.58
428,2020,20,9.17
496,2036,20,12.93
496,2021,20,16.1
496,2022,20,15.6
496,2023,20,15.14
496,2024,20,14.68
496,2025,20,14.21
496,2026,20,13.82
496,2027,20,13.52
496,2028,20,13.31
496,2029,20,13.13
496,2030,20,12.96
496,2031,20,12.89
496,2032,20,12.88
496,2033,20,12.9
496,2034,20,12.93
496,2035,20,12.93
496,1990,20,37.95
496,2037,20,12.93
496,2038,20,12.92
496,2039,20,12.89
496,2040,20,12.82
496,2041,20,12.73
496,2042,20,12.63
496,2043,20,12.52
496,2044,20,12.39
496,2045,20,12.24
496,2046,20,12.07
496,2047,20,11.89
496,2048,20,11.7
496,2049,20,11.51
496,2050,20,11.31
496,2019,20,17.4
496,1989,20,38.53
496,1991,20,33.53
496,1992,20,28.59
496,1993,20,23.65
496,1994,20,24.84
496,1995,20,26.53
496,1996,20,23.82
496,1997,20,22.95
496,1998,20,22.31
496,1999,20,21.68
496,2000,20,20.02
496,2001,20,19.92
496,2002,20,19.06
496,2003,20,18.25
496,2004,20,18.33
496,2005,20,18.44
496,2006,20,19.6
496,2007,20,20.49
496,2008,20,21.33
496,2009,20,22.17
496,2010,20,23.07
496,2011,20,22.74
496,2012,20,22.25
496,2013,20,21.59
496,2014,20,20.88
496,2015,20,20.25
496,2016,20,19.6
496,2017,20,18.88
496,2018,20,18.15
