country_id,year,indicator_id,indicator_value
4,1990,1,0.466
4,1995,1,0.4
4,2000,1,0.3
4,2005,1,0.4
4,2010,1,0.4
4,2015,1,0.4
4,2018,1,0.4
8,1990,1,0.572
8,1995,1,0.5
8,2000,1,0.6
8,2005,1,0.6
8,2010,1,0.7
8,2015,1,0.7
8,2018,1,0.7
12,1990,1,0.695
12,1995,1,0.7
12,2000,1,0.7
12,2005,1,0.7
12,2010,1,0.7
12,2015,1,0.7
12,2018,1,0.7
20,1990,1,0.936
20,1995,1,0.9
20,2000,1,0.9
20,2005,1,0.9
20,2010,1,0.9
20,2015,1,0.9
20,2018,1,0.9
24,1990,1,0.562
24,1995,1,0.5
24,2000,1,0.5
24,2005,1,0.6
24,2010,1,0.6
24,2015,1,0.6
24,2018,1,0.6
28,1990,1,0.764
28,1995,1,0.8
28,2000,1,0.8
28,2005,1,0.8
28,2010,1,0.8
28,2015,1,0.8
28,2018,1,0.8
32,1990,1,0.709
32,1995,1,0.7
32,2000,1,0.8
32,2005,1,0.7
32,2010,1,0.8
32,2015,1,0.8
32,2018,1,0.8
51,1990,1,0.541
51,1995,1,0.5
51,2000,1,0.5
51,2005,1,0.6
51,2010,1,0.6
51,2015,1,0.7
51,2018,1,0.7
36,1990,1,0.849
36,1995,1,0.9
36,2000,1,0.9
36,2005,1,0.9
36,2010,1,0.9
36,2015,1,0.9
36,2018,1,0.9
40,1990,1,0.869
40,1995,1,0.9
40,2000,1,0.9
40,2005,1,0.9
40,2010,1,0.9
40,2015,1,0.9
40,2018,1,0.9
31,1990,1,0.675
31,1995,1,0.6
31,2000,1,0.6
31,2005,1,0.6
31,2010,1,0.7
31,2015,1,0.8
31,2018,1,0.8
44,1990,1,0.859
44,1995,1,0.8
44,2000,1,0.9
44,2005,1,0.9
44,2010,1,0.9
44,2015,1,0.9
44,2018,1,0.9
48,1990,1,0.861
48,1995,1,0.9
48,2000,1,0.9
48,2005,1,0.9
48,2010,1,0.9
48,2015,1,0.9
48,2018,1,0.9
50,1990,1,0.394
50,1995,1,0.4
50,2000,1,0.4
50,2005,1,0.4
50,2010,1,0.5
50,2015,1,0.5
50,2018,1,0.6
52,1990,1,0.744
52,1995,1,0.7
52,2000,1,0.7
52,2005,1,0.8
52,2010,1,0.8
52,2015,1,0.8
52,2018,1,0.8
112,1990,1,0.669
112,1995,1,0.6
112,2000,1,0.6
112,2005,1,0.7
112,2010,1,0.7
112,2015,1,0.8
112,2018,1,0.8
56,1990,1,0.865
56,1995,1,0.9
56,2000,1,0.9
56,2005,1,0.9
56,2010,1,0.9
56,2015,1,0.9
56,2018,1,0.9
84,1990,1,0.59
84,1995,1,0.6
84,2000,1,0.6
84,2005,1,0.6
84,2010,1,0.6
84,2015,1,0.6
84,2018,1,0.6
204,1990,1,0.402
204,1995,1,0.4
204,2000,1,0.4
204,2005,1,0.4
204,2010,1,0.4
204,2015,1,0.4
204,2018,1,0.5
64,1990,1,0.467
64,1995,1,0.5
64,2000,1,0.5
64,2005,1,0.6
64,2010,1,0.6
64,2015,1,0.6
64,2018,1,0.7
68,1990,1,0.538
68,1995,1,0.5
68,2000,1,0.6
68,2005,1,0.6
68,2010,1,0.6
68,2015,1,0.6
68,2018,1,0.6
70,1990,1,0.392
70,1995,1,0.4
70,2000,1,0.6
70,2005,1,0.7
70,2010,1,0.7
70,2015,1,0.7
70,2018,1,0.7
72,1990,1,0.667
72,1995,1,0.7
72,2000,1,0.7
72,2005,1,0.7
72,2010,1,0.7
72,2015,1,0.8
72,2018,1,0.8
76,1990,1,0.697
76,1995,1,0.7
76,2000,1,0.7
76,2005,1,0.7
76,2010,1,0.7
76,2015,1,0.8
76,2018,1,0.7
96,1990,1,1
96,1995,1,1.0
96,2000,1,1.0
96,2005,1,1.0
96,2010,1,1.0
96,2015,1,1.0
96,2018,1,1.0
100,1990,1,0.671
100,1995,1,0.7
100,2000,1,0.7
100,2005,1,0.7
100,2010,1,0.7
100,2015,1,0.8
100,2018,1,0.8
854,1990,1,0.322
854,1995,1,0.3
854,2000,1,0.4
854,2005,1,0.4
854,2010,1,0.4
854,2015,1,0.4
854,2018,1,0.4
108,1990,1,0.35
108,1995,1,0.3
108,2000,1,0.3
108,2005,1,0.3
108,2010,1,0.3
108,2015,1,0.3
108,2018,1,0.3
132,1990,1,0.427
132,1995,1,0.5
132,2000,1,0.5
132,2005,1,0.6
132,2010,1,0.6
132,2015,1,0.6
132,2018,1,0.6
116,1990,1,0.397
116,1995,1,0.4
116,2000,1,0.4
116,2005,1,0.4
116,2010,1,0.5
116,2015,1,0.5
116,2018,1,0.5
120,1990,1,0.508
120,1995,1,0.5
120,2000,1,0.5
120,2005,1,0.5
120,2010,1,0.5
120,2015,1,0.5
120,2018,1,0.5
124,1990,1,0.864
124,1995,1,0.9
124,2000,1,0.9
124,2005,1,0.9
124,2010,1,0.9
124,2015,1,0.9
124,2018,1,0.9
140,1990,1,0.343
140,1995,1,0.3
140,2000,1,0.3
140,2005,1,0.3
140,2010,1,0.3
140,2015,1,0.3
140,2018,1,0.3
148,1990,1,0.362
148,1995,1,0.4
148,2000,1,0.4
148,2005,1,0.4
148,2010,1,0.4
148,2015,1,0.4
148,2018,1,0.4
152,1990,1,0.673
152,1995,1,0.7
152,2000,1,0.7
152,2005,1,0.8
152,2010,1,0.8
152,2015,1,0.8
152,2018,1,0.8
156,1990,1,0.412
156,1995,1,0.5
156,2000,1,0.5
156,2005,1,0.6
156,2010,1,0.7
156,2015,1,0.7
156,2018,1,0.8
170,1990,1,0.65
170,1995,1,0.7
170,2000,1,0.7
170,2005,1,0.7
170,2010,1,0.7
170,2015,1,0.7
170,2018,1,0.7
174,1990,1,0.491
174,1995,1,0.5
174,2000,1,0.5
174,2005,1,0.5
174,2010,1,0.5
174,2015,1,0.5
174,2018,1,0.5
178,1990,1,0.618
178,1995,1,0.6
178,2000,1,0.6
178,2005,1,0.5
178,2010,1,0.5
178,2015,1,0.6
178,2018,1,0.6
188,1990,1,0.65
188,1995,1,0.7
188,2000,1,0.7
188,2005,1,0.7
188,2010,1,0.7
188,2015,1,0.7
188,2018,1,0.8
191,1990,1,0.751
191,1995,1,0.7
191,2000,1,0.8
191,2005,1,0.8
191,2010,1,0.8
191,2015,1,0.8
191,2018,1,0.8
192,1990,1,0.588
192,1995,1,0.5
192,2000,1,0.5
192,2005,1,0.6
192,2010,1,0.6
192,2015,1,0.6
192,2018,1,0.7
196,1990,1,0.82
196,1995,1,0.8
196,2000,1,0.8
196,2005,1,0.9
196,2010,1,0.9
196,2015,1,0.9
196,2018,1,0.9
203,1990,1,0.801
203,1995,1,0.8
203,2000,1,0.8
203,2005,1,0.8
203,2010,1,0.8
203,2015,1,0.8
203,2018,1,0.9
208,1990,1,0.875
208,1995,1,0.9
208,2000,1,0.9
208,2005,1,0.9
208,2010,1,0.9
208,2015,1,0.9
208,2018,1,0.9
262,1990,1,0.446
262,1995,1,0.4
262,2000,1,0.4
262,2005,1,0.4
262,2010,1,0.5
262,2015,1,0.5
262,2018,1,0.5
212,1990,1,0.63
212,1995,1,0.6
212,2000,1,0.6
212,2005,1,0.7
212,2010,1,0.7
212,2015,1,0.7
212,2018,1,0.7
214,1990,1,0.599
214,1995,1,0.6
214,2000,1,0.6
214,2005,1,0.7
214,2010,1,0.7
214,2015,1,0.7
214,2018,1,0.8
218,1990,1,0.639
218,1995,1,0.6
218,2000,1,0.6
218,2005,1,0.7
218,2010,1,0.7
218,2015,1,0.7
218,2018,1,0.7
818,1990,1,0.612
818,1995,1,0.6
818,2000,1,0.6
818,2005,1,0.7
818,2010,1,0.7
818,2015,1,0.7
818,2018,1,0.7
222,1990,1,0.571
222,1995,1,0.6
222,2000,1,0.6
222,2005,1,0.6
222,2010,1,0.6
222,2015,1,0.6
222,2018,1,0.6
226,1990,1,0.401
226,1995,1,0.4
226,2000,1,0.6
226,2005,1,0.7
226,2010,1,0.8
226,2015,1,0.8
226,2018,1,0.8
232,1990,1,0.331
232,1995,1,0.4
232,2000,1,0.5
232,2005,1,0.5
232,2010,1,0.5
232,2015,1,0.4
232,2018,1,0.4
233,1990,1,0.757
233,1995,1,0.7
233,2000,1,0.7
233,2005,1,0.8
233,2010,1,0.8
233,2015,1,0.8
233,2018,1,0.9
231,1990,1,0.283
231,1995,1,0.3
231,2000,1,0.3
231,2005,1,0.3
231,2010,1,0.3
231,2015,1,0.4
231,2018,1,0.4
242,1990,1,0.61
242,1995,1,0.6
242,2000,1,0.6
242,2005,1,0.6
242,2010,1,0.6
242,2015,1,0.7
242,2018,1,0.7
246,1990,1,0.852
246,1995,1,0.8
246,2000,1,0.9
246,2005,1,0.9
246,2010,1,0.9
246,2015,1,0.9
246,2018,1,0.9
250,1990,1,0.859
250,1995,1,0.9
250,2000,1,0.9
250,2005,1,0.9
250,2010,1,0.9
250,2015,1,0.9
250,2018,1,0.9
266,1990,1,0.796
266,1995,1,0.8
266,2000,1,0.8
266,2005,1,0.8
266,2010,1,0.7
266,2015,1,0.8
266,2018,1,0.8
270,1990,1,0.391
270,1995,1,0.4
270,2000,1,0.4
270,2005,1,0.4
270,2010,1,0.4
270,2015,1,0.4
270,2018,1,0.4
268,1990,1,0.662
268,1995,1,0.5
268,2000,1,0.5
268,2005,1,0.6
268,2010,1,0.6
268,2015,1,0.7
268,2018,1,0.7
276,1990,1,0.87
276,1995,1,0.9
276,2000,1,0.9
276,2005,1,0.9
276,2010,1,0.9
276,2015,1,0.9
276,2018,1,0.9
288,1990,1,0.442
288,1995,1,0.4
288,2000,1,0.5
288,2005,1,0.5
288,2010,1,0.5
288,2015,1,0.5
288,2018,1,0.6
300,1990,1,0.808
300,1995,1,0.8
300,2000,1,0.8
300,2005,1,0.8
